Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
2955,09/02/2015,Faaso\\xe2\\x80\\x99s,,,,Lightbox Ventures,Private Equity,"2,00,00,000",Series B
2956,10/02/2015,CarTrade.com,,,,Chip Perry,Private Equity,,
2957,10/02/2015,StoreKing,,,,Mangrove Capital Partners,Private Equity,,
2958,11/02/2015,Capital Float,,,,"SAIF Partners, Sequoia Capital, Aspada",Private Equity,"1,30,00,000",Series A
2959,11/02/2015,Nimble Wireless,,,,AngelPrime,Seed\\nFunding,"30,00,000",
2960,11/02/2015,Townscript,,,,Group of Angel Investors,Seed\\nFunding,,
2961,11/02/2015,FindYahan,,,,"Karan Bajwa, Parvesh Bareja , Sunjay Kapur, Amanpreet Bajaj",Seed\\nFunding,,
2962,12/02/2015,Stayzilla,,,,"Nexus Venture Partners, Matrix Partners",Private Equity,"2,00,00,000",Series B
2963,12/02/2015,Practo,,,,"Sequoia Capital, Matrix Partners",Private Equity,"3,00,00,000",Series B
2964,13/02/2015,CimplyFive,,,,"Suresh Senapaty, TV Mohandas Pai",Seed\\nFunding,,
2965,13/02/2015,20Dresses,,,,"Srinivas Aluri, Srinivas Modukury, BS Nagesh",Seed\\nFunding,"10,00,000",
